id,instance,goal,result,duration,verdict,corr_result
1,aba_500_0.1_5_5_2.aba,s278,NO,1.12,corr,NO
2,aba_25_0.1_5_10_8.aba,s2,YES,0.21,corr,YES
3,aba_500_0.3_5_5_5.aba,s330,NO,1.16,corr,NO
4,aba_25_0.1_5_10_9.aba,s2,YES,0.22,corr,YES
5,aba_100_0.1_10_5_2.aba,s4,NO,0.33,corr,NO
6,aba_25_0.1_10_10_1.aba,s1,NO,0.27,corr,NO
7,aba_500_0.1_10_10_8.aba,s370,NO,3.27,inc,YES
8,aba_100_0.3_5_10_6.aba,s95,NO,0.36,inc,YES
9,aba_5000_0.1_10_10_0.aba,s3688,NO,291.04,corr,NO
10,aba_100_0.1_10_10_5.aba,s55,NO,0.6,inc,YES
11,aba_500_0.3_10_10_2.aba,s288,NO,3.14,corr,NO
12,aba_500_0.3_10_10_6.aba,s301,NO,3.7,corr,NO
13,aba_100_0.3_10_5_0.aba,s16,NO,0.23,inc,YES
14,aba_5000_0.1_5_5_1.aba,s1655,NO,43.9,corr,NO
15,aba_100_0.1_5_5_0.aba,s8,NO,0.3,inc,YES
16,aba_100_0.3_5_10_2.aba,s15,NO,0.35,corr,NO
17,aba_100_0.3_5_5_4.aba,s59,NO,0.34,inc,YES
18,aba_2000_0.3_10_10_5.aba,s1410,NO,30.13,inc,YES
19,aba_25_0.1_10_5_8.aba,s13,NO,0.24,corr,NO
20,aba_5000_0.3_10_10_0.aba,s3055,NO,228.8,MISSING,?
21,aba_2000_0.1_10_5_3.aba,s1837,NO,30.83,inc,YES
22,aba_25_0.1_10_5_2.aba,s2,NO,0.25,corr,NO
23,aba_2000_0.3_10_10_4.aba,s1968,NO,35.6,corr,NO
24,aba_25_0.3_5_10_3.aba,s1,NO,0.25,corr,NO
25,aba_500_0.1_5_10_5.aba,s488,NO,1.05,inc,YES
26,aba_100_0.1_5_5_9.aba,s36,NO,0.24,inc,YES
27,aba_5000_0.1_10_5_7.aba,s2541,NO,116.78,inc,YES
28,aba_5000_0.1_5_5_5.aba,s1826,NO,30.96,corr,NO
29,aba_5000_0.1_5_10_7.aba,s241,NO,82.39,inc,YES
30,aba_2000_0.3_5_10_5.aba,s1338,NO,5.01,inc,YES
31,aba_2000_0.3_5_10_7.aba,s153,NO,6.76,inc,YES
32,aba_500_0.1_5_10_3.aba,s120,NO,1.61,inc,YES
33,aba_2000_0.3_10_10_3.aba,s1006,NO,27.53,corr,NO
34,aba_5000_0.3_5_10_4.aba,s1088,NO,21.73,inc,YES
35,aba_25_0.1_5_10_2.aba,s2,YES,0.21,corr,YES
36,aba_500_0.3_10_5_5.aba,s280,NO,2.7,inc,YES
37,aba_100_0.1_5_10_7.aba,s1,NO,0.32,corr,NO
38,aba_2000_0.1_5_5_7.aba,s130,NO,5.95,corr,NO
39,aba_100_0.1_5_10_0.aba,s88,NO,0.31,inc,YES
