id,instance,goal,result,duration,verdict,corr_result
1,aba_500_0.1_5_5_2.aba,278,NO,1.23,corr,NO
2,aba_25_0.1_5_10_8.aba,2,YES,0.72,corr,YES
3,aba_500_0.3_5_5_5.aba,330,NO,1.22,corr,NO
4,aba_25_0.1_5_10_9.aba,2,YES,0.94,corr,YES
5,aba_100_0.1_10_5_2.aba,4,,600.0,TIMEOUT,NO
6,aba_25_0.1_10_10_1.aba,1,NO,0.74,corr,NO
7,aba_500_0.1_10_10_8.aba,370,,600.0,TIMEOUT,YES
8,aba_100_0.3_5_10_6.aba,95,NO,1.01,inc,YES
9,aba_5000_0.1_10_10_0.aba,3688,,600.0,TIMEOUT,NO
10,aba_100_0.1_10_10_5.aba,55,NO,0.99,inc,YES
11,aba_500_0.3_10_10_2.aba,288,,600.0,TIMEOUT,NO
12,aba_500_0.3_10_10_6.aba,301,,600.0,TIMEOUT,NO
13,aba_100_0.3_10_5_0.aba,16,NO,0.97,inc,YES
14,aba_5000_0.1_5_5_1.aba,1655,,600.0,TIMEOUT,NO
15,aba_100_0.1_5_5_0.aba,8,YES,2.57,corr,YES
16,aba_100_0.3_5_10_2.aba,15,NO,1.0,corr,NO
17,aba_100_0.3_5_5_4.aba,59,NO,0.83,inc,YES
18,aba_2000_0.3_10_10_5.aba,1410,,600.0,TIMEOUT,YES
19,aba_25_0.1_10_5_8.aba,13,NO,1.04,corr,NO
20,aba_5000_0.3_10_10_0.aba,3055,,600.0,TIMEOUT,?
21,aba_2000_0.1_10_5_3.aba,1837,NO,2.92,inc,YES
22,aba_25_0.1_10_5_2.aba,2,NO,0.68,corr,NO
23,aba_2000_0.3_10_10_4.aba,1968,,600.0,TIMEOUT,NO
24,aba_25_0.3_5_10_3.aba,1,NO,0.71,corr,NO
25,aba_500_0.1_5_10_5.aba,488,,600.0,TIMEOUT,YES
26,aba_100_0.1_5_5_9.aba,36,YES,2.4,corr,YES
27,aba_5000_0.1_10_5_7.aba,2541,NO,4.57,inc,YES
28,aba_5000_0.1_5_5_5.aba,1826,NO,3.28,corr,NO
29,aba_5000_0.1_5_10_7.aba,241,,600.0,TIMEOUT,YES
30,aba_2000_0.3_5_10_5.aba,1338,,600.0,TIMEOUT,YES
31,aba_2000_0.3_5_10_7.aba,153,,600.0,TIMEOUT,YES
32,aba_500_0.1_5_10_3.aba,120,NO,1.31,inc,YES
33,aba_2000_0.3_10_10_3.aba,1006,NO,3.66,corr,NO
34,aba_5000_0.3_5_10_4.aba,1088,,600.0,TIMEOUT,YES
35,aba_25_0.1_5_10_2.aba,2,YES,0.78,corr,YES
36,aba_500_0.3_10_5_5.aba,280,,600.0,TIMEOUT,YES
37,aba_100_0.1_5_10_7.aba,1,NO,0.99,corr,NO
38,aba_2000_0.1_5_5_7.aba,130,,600.0,TIMEOUT,NO
39,aba_100_0.1_5_10_0.aba,88,NO,0.88,inc,YES
40,aba_100_0.1_5_10_2.aba,2,YES,2.54,corr,YES
41,aba_5000_0.1_5_10_4.aba,2948,,600.0,TIMEOUT,YES
42,aba_100_0.1_10_5_0.aba,78,,600.0,TIMEOUT,NO
43,aba_2000_0.1_5_5_1.aba,849,NO,1.92,inc,YES
44,aba_25_0.1_5_10_4.aba,1,YES,0.83,corr,YES
45,aba_2000_0.1_5_10_2.aba,159,,600.0,TIMEOUT,YES
46,aba_25_0.3_5_5_6.aba,7,YES,1.02,corr,YES
47,aba_5000_0.3_5_10_1.aba,1714,,600.0,TIMEOUT,NO
48,aba_100_0.1_5_5_1.aba,63,NO,3.33,corr,NO
49,aba_500_0.1_5_10_4.aba,20,YES,20.46,corr,YES
50,aba_25_0.3_10_10_5.aba,19,NO,0.82,corr,NO
51,aba_5000_0.3_5_5_8.aba,3456,NO,10.7,MISSING,?
52,aba_2000_0.3_5_5_9.aba,1266,,600.0,TIMEOUT,NO
53,aba_2000_0.3_10_5_0.aba,1804,,600.0,TIMEOUT,YES
