id,instance,goal,result,duration,verdict,corr_result
1,aba_500_0.1_5_5_2.aba,278,NO,1.21,corr,NO
2,aba_25_0.1_5_10_8.aba,2,YES,0.72,corr,YES
3,aba_500_0.3_5_5_5.aba,330,NO,1.29,corr,NO
4,aba_25_0.1_5_10_9.aba,2,YES,0.95,corr,YES
5,aba_100_0.1_10_5_2.aba,4,NO,3.73,corr,NO
6,aba_25_0.1_10_10_1.aba,1,NO,0.68,corr,NO
7,aba_500_0.1_10_10_8.aba,370,NO,1.37,inc,YES
8,aba_100_0.3_5_10_6.aba,95,NO,0.88,inc,YES
9,aba_5000_0.1_10_10_0.aba,3688,NO,5.53,corr,NO
10,aba_100_0.1_10_10_5.aba,55,NO,0.98,inc,YES
11,aba_500_0.3_10_10_2.aba,288,NO,2.37,corr,NO
12,aba_500_0.3_10_10_6.aba,301,NO,1.56,corr,NO
13,aba_100_0.3_10_5_0.aba,16,NO,0.98,inc,YES
14,aba_5000_0.1_5_5_1.aba,1655,NO,3.16,corr,NO
15,aba_100_0.1_5_5_0.aba,8,YES,2.55,corr,YES
16,aba_100_0.3_5_10_2.aba,15,NO,0.96,corr,NO
17,aba_100_0.3_5_5_4.aba,59,NO,0.79,inc,YES
18,aba_2000_0.3_10_10_5.aba,1410,NO,3.74,inc,YES
19,aba_25_0.1_10_5_8.aba,13,NO,0.71,corr,NO
20,aba_5000_0.3_10_10_0.aba,3055,NO,13.78,MISSING,?
21,aba_2000_0.1_10_5_3.aba,1837,NO,2.94,inc,YES
22,aba_25_0.1_10_5_2.aba,2,NO,0.68,corr,NO
23,aba_2000_0.3_10_10_4.aba,1968,NO,3.72,corr,NO
24,aba_25_0.3_5_10_3.aba,1,NO,0.72,corr,NO
25,aba_500_0.1_5_10_5.aba,488,NO,1.3,inc,YES
26,aba_100_0.1_5_5_9.aba,36,NO,0.8,inc,YES
27,aba_5000_0.1_10_5_7.aba,2541,NO,4.01,inc,YES
28,aba_5000_0.1_5_5_5.aba,1826,NO,2.99,corr,NO
29,aba_5000_0.1_5_10_7.aba,241,,600.0,TIMEOUT,YES
30,aba_2000_0.3_5_10_5.aba,1338,NO,2.75,inc,YES
31,aba_2000_0.3_5_10_7.aba,153,,600.0,TIMEOUT,YES
32,aba_500_0.1_5_10_3.aba,120,NO,1.24,inc,YES
33,aba_2000_0.3_10_10_3.aba,1006,NO,3.61,corr,NO
34,aba_5000_0.3_5_10_4.aba,1088,,600.0,TIMEOUT,YES
35,aba_25_0.1_5_10_2.aba,2,YES,0.78,corr,YES
36,aba_500_0.3_10_5_5.aba,280,NO,1.4,inc,YES
37,aba_100_0.1_5_10_7.aba,1,NO,0.93,corr,NO
38,aba_2000_0.1_5_5_7.aba,130,NO,2.58,corr,NO
39,aba_100_0.1_5_10_0.aba,88,YES,1.74,corr,YES
40,aba_100_0.1_5_10_2.aba,2,YES,2.35,corr,YES
41,aba_5000_0.1_5_10_4.aba,2948,NO,4.02,inc,YES
42,aba_100_0.1_10_5_0.aba,78,NO,0.97,corr,NO
43,aba_2000_0.1_5_5_1.aba,849,NO,1.91,inc,YES
44,aba_25_0.1_5_10_4.aba,1,YES,0.85,corr,YES
45,aba_2000_0.1_5_10_2.aba,159,,600.0,TIMEOUT,YES
46,aba_25_0.3_5_5_6.aba,7,YES,1.06,corr,YES
47,aba_5000_0.3_5_10_1.aba,1714,NO,8.09,corr,NO
48,aba_100_0.1_5_5_1.aba,63,NO,0.99,corr,NO
49,aba_500_0.1_5_10_4.aba,20,YES,20.31,corr,YES
50,aba_25_0.3_10_10_5.aba,19,NO,0.77,corr,NO
51,aba_5000_0.3_5_5_8.aba,3456,NO,6.74,MISSING,?
52,aba_2000_0.3_5_5_9.aba,1266,NO,2.67,corr,NO
53,aba_2000_0.3_10_5_0.aba,1804,NO,3.0,inc,YES
54,aba_5000_0.3_5_10_6.aba,1091,NO,10.36,corr,NO
55,aba_2000_0.1_5_10_4.aba,97,,600.0,TIMEOUT,YES
56,aba_25_0.1_10_5_7.aba,22,NO,0.76,corr,NO
57,aba_25_0.1_10_5_3.aba,18,NO,0.67,corr,NO
58,aba_25_0.3_10_5_6.aba,5,NO,0.8,corr,NO
59,aba_2000_0.3_10_5_7.aba,1163,NO,2.9,inc,YES
60,aba_25_0.1_5_5_4.aba,1,YES,0.64,corr,YES
61,aba_25_0.3_5_10_5.aba,19,NO,0.68,corr,NO
62,aba_2000_0.1_5_10_7.aba,198,,600.0,TIMEOUT,YES
63,aba_100_0.3_5_10_7.aba,34,NO,0.98,corr,NO
64,aba_5000_0.3_10_10_5.aba,4437,NO,13.72,MISSING,?
65,aba_25_0.1_10_5_6.aba,10,NO,0.68,inc,YES
66,aba_25_0.3_5_5_5.aba,14,NO,0.68,corr,NO
67,aba_2000_0.1_5_5_8.aba,596,NO,1.87,corr,NO
68,aba_25_0.1_5_10_0.aba,25,NO,0.65,inc,YES
69,aba_25_0.3_10_10_8.aba,12,NO,0.69,corr,NO
70,aba_100_0.3_5_10_3.aba,2,YES,2.63,corr,YES
71,aba_25_0.1_10_5_9.aba,2,YES,0.83,corr,YES
72,aba_500_0.3_5_10_8.aba,375,NO,1.38,corr,NO
73,aba_5000_0.3_10_10_6.aba,746,,600.0,TIMEOUT,?
74,aba_2000_0.1_10_5_9.aba,39,,600.0,TIMEOUT,NO
75,aba_500_0.1_5_10_1.aba,166,NO,1.21,inc,YES
76,aba_25_0.1_5_10_5.aba,2,YES,0.72,corr,YES
77,aba_25_0.3_10_5_9.aba,21,NO,0.7,corr,NO
78,aba_25_0.1_10_10_3.aba,15,NO,0.71,inc,YES
79,aba_100_0.3_10_5_3.aba,93,NO,0.99,corr,NO
80,aba_5000_0.3_5_5_3.aba,1482,NO,8.19,MISSING,?
81,aba_500_0.3_5_10_2.aba,274,NO,1.41,inc,YES
82,aba_25_0.1_10_5_1.aba,16,NO,0.73,corr,NO
83,aba_25_0.1_10_5_4.aba,13,NO,0.72,corr,NO
84,aba_25_0.3_5_5_4.aba,1,NO,0.99,corr,NO
85,aba_500_0.1_5_10_2.aba,24,YES,19.92,corr,YES
86,aba_5000_0.3_5_5_1.aba,1538,NO,6.81,MISSING,?
87,aba_500_0.1_10_5_2.aba,129,NO,1.41,corr,NO
88,aba_2000_0.3_5_10_3.aba,1175,NO,2.83,inc,YES
