id,instance,goal,result,duration,verdict,corr_result
202,aba_100_0.3_5_5_6.aba,58,NO,0.93,corr,NO
203,aba_500_0.3_10_5_9.aba,263,NO,1.49,inc,YES
204,aba_25_0.3_10_10_1.aba,21,NO,1.36,corr,NO
205,aba_500_0.1_10_5_5.aba,171,,600.0,TIMEOUT,NO
206,aba_5000_0.3_10_5_4.aba,1390,,600.0,TIMEOUT,YES
207,aba_500_0.3_5_10_0.aba,36,YES,31.13,corr,YES
208,aba_5000_0.3_5_5_5.aba,1372,,600.0,TIMEOUT,?
209,aba_5000_0.3_5_5_7.aba,2005,,600.0,TIMEOUT,?
210,aba_100_0.1_10_5_3.aba,8,,600.0,TIMEOUT,NO
211,aba_100_0.3_5_5_3.aba,100,YES,4.5,corr,YES
212,aba_500_0.1_10_5_9.aba,431,NO,1.3,corr,NO
213,aba_2000_0.3_5_5_2.aba,1812,,600.0,TIMEOUT,YES
214,aba_5000_0.1_10_10_7.aba,84,,600.0,TIMEOUT,YES
215,aba_100_0.1_10_10_1.aba,2,YES,4.91,corr,YES
216,aba_2000_0.3_5_10_1.aba,383,,600.0,TIMEOUT,YES
217,aba_25_0.3_10_10_4.aba,3,YES,1.36,corr,YES
218,aba_2000_0.1_10_5_8.aba,1352,,600.0,TIMEOUT,YES
219,aba_25_0.3_10_5_1.aba,20,NO,2.99,inc,YES
220,aba_100_0.1_10_10_7.aba,13,,600.0,TIMEOUT,YES
221,aba_100_0.3_5_5_5.aba,42,NO,10.5,inc,YES
222,aba_5000_0.3_5_5_2.aba,3069,,600.0,TIMEOUT,?
223,aba_100_0.3_10_10_0.aba,78,YES,1.27,corr,YES
224,aba_500_0.3_10_10_0.aba,438,,600.0,TIMEOUT,NO
225,aba_5000_0.1_10_5_0.aba,4063,,600.0,TIMEOUT,YES
226,aba_500_0.3_5_5_4.aba,136,,600.0,TIMEOUT,YES
227,aba_5000_0.1_10_5_8.aba,548,,600.0,TIMEOUT,YES
228,aba_5000_0.1_5_10_5.aba,377,,600.0,TIMEOUT,YES
229,aba_5000_0.3_10_5_8.aba,1459,,600.0,TIMEOUT,NO
230,aba_25_0.3_10_10_0.aba,9,NO,0.87,corr,NO
